EmbeddingSimilarity,nll-test,
666,-0.0720492348964793,0.7816384,
671,-0.0647277742496688,0.78433627,
676,-0.0650380237994101,0.7858468,
681,-0.05521939079649338,0.788503,
686,-0.06439552828859342,0.791832,
691,-0.043761727811334514,0.7959661,
696,-0.04852499763064504,0.7993851,
701,-0.04559498297353322,0.8010606,
706,-0.05222270553829048,0.8062724,
711,-0.048616607089330556,0.80988705,
716,-0.048819189190125366,0.81394887,
721,-0.06015960996918676,0.8174052,
726,-0.044122805952376304,0.81878245,
731,-0.0493304299486623,0.8188372,
736,-0.04805369324268201,0.8187329,
741,-0.048096011911161515,0.8207009,
746,-0.05117811795279077,0.8209194,
751,-0.0374347591376962,0.82316935,
756,-0.057062954588998814,0.82582,
761,-0.043720831330390134,0.82646406,
766,-0.05426026952222941,0.8264899,
771,-0.041175252162743946,0.82664365,
776,-0.04589930841911219,0.8255965,
781,-0.037309821481851975,0.82510775,
786,-0.05316772145642951,0.82670695,
791,-0.04418907368269318,0.82625526,
796,-0.03797706105402969,0.82501584,
801,-0.048722367742986085,0.82465655,
806,-0.04468708564969274,0.82435715,
811,-0.04412423866122111,0.8233304,
816,-0.047062834701926876,0.82503545,
821,-0.04898065937503375,0.8268783,
826,-0.045122322434628596,0.82768404,
831,-0.041778203802555,0.8307039,
836,-0.050187014427536036,0.8349169,
841,-0.05038328098686564,0.8373193,
846,-0.04832559061091422,0.8374483,
